rank,name,address,type,ca_name,placement_score,need,reach,recent_deaths_400m,nearest_nax_km,blight_score,hardship,transit_adjacent
269,SOUTHWOOD,5701 S WOOD ST 1ST,Corner store / food mart,WEST ENGLEWOOD,18.5,18.5,1.0,10,1.24,80.9,89,False
270,VERTIS LINDSEY,1202 W 63RD ST 1ST,Corner store / food mart,WEST ENGLEWOOD,18.5,18.5,1.0,10,1.1,80.9,89,False
271,DELIGHT,6729 S HERMITAGE AVE,Corner store / food mart,WEST ENGLEWOOD,18.5,18.5,1.0,10,0.87,80.9,89,False
272,A&G WHOLESALE FOODS LIQUORS,6945 S STATE ST 1ST,Liquor / package goods,GREATER GRAND CROSSING,18.3,13.5,1.35,9,1.23,35.0,66,True
273,FAMILY FOOD MART,3024 E CHELTENHAM PL,Corner store / food mart,SOUTH SHORE,18.3,18.3,1.0,13,1.5,26.8,55,False
274,COLES GROCERY & DOLLAR INC.,2800 E 76TH ST 1ST,Corner store / food mart,SOUTH SHORE,18.3,18.3,1.0,13,0.74,26.8,55,False
275,J FAMILY ENTERPRISES INC,1457 W MARQUETTE RD,Liquor / package goods,WEST ENGLEWOOD,18.3,20.3,0.9,11,0.78,80.9,89,False
276,79TH FOOD BASKET,2346 E 79TH ST,Corner store / food mart,SOUTH SHORE,18.3,18.3,1.0,13,1.21,26.8,55,False
277,PLAZA FOOD AND LIQUOR,3455-3459 W OGDEN AVE 1,Liquor / package goods,NORTH LAWNDALE,18.2,13.5,1.35,16,0.26,31.5,87,True
278,SANCHEZ TACOS,4001 W OGDEN AVE,Corner store / food mart,NORTH LAWNDALE,18.2,12.2,1.5,9,0.42,31.5,87,True
279,CANNONS JERK,442 E 75TH ST GROUND,Corner store / food mart,GREATER GRAND CROSSING,18.1,18.1,1.0,12,0.86,35.0,66,False
280,EFFIE BONNER,6714 S ADA ST,Tobacco / vape,WEST ENGLEWOOD,18.1,25.9,0.7,14,0.54,80.9,89,False
281,PHILLY STEAK & LEMONADE,5202 W WASHINGTON BLVD,Corner store / food mart,AUSTIN,17.8,17.8,1.0,11,1.14,50.4,73,False
282,C & P FRIED RICE 2,524 S LARAMIE AVE,Corner store / food mart,AUSTIN,17.8,17.8,1.0,11,1.37,50.4,73,False
283,GATE'S GROCERY,922 N PARKSIDE AVE 1ST,Corner store / food mart,AUSTIN,17.8,17.8,1.0,11,0.93,50.4,73,False
284,FORTY ACRES FRESH MARKET LLC,5705-5715 W CHICAGO AVE,Corner store / food mart,AUSTIN,17.8,17.8,1.0,11,0.66,50.4,73,False
285,JOE'S WHOLESALE,4048 W CHICAGO AVE,Corner store / food mart,HUMBOLDT PARK,17.6,17.6,1.0,11,1.08,34.9,85,False
286,BELLA VITA PIZZARIA,3737 W GRAND AVE 1ST,Corner store / food mart,HUMBOLDT PARK,17.6,17.6,1.0,11,1.27,34.9,85,False
287,"THE HEARTY BOYS CATERERS, INC.",3525 W GRAND AVE 1,Corner store / food mart,HUMBOLDT PARK,17.6,17.6,1.0,11,1.04,34.9,85,False
288,CAMACHO RESTAURANT,1155 N LAWNDALE AVE 1ST,Corner store / food mart,HUMBOLDT PARK,17.6,17.6,1.0,11,1.38,34.9,85,False
289,M & K FOODS,216 N KEELER AVE,Corner store / food mart,WEST GARFIELD PARK,17.6,17.6,1.0,12,0.46,24.7,92,False
